time,user_name,user_color,message
734,captbablobronzebeard,#FF69B4,"hltv pitää kaverit varpaillaan"
734,routawaara,#DAA520,"Paistaako Savelassa aurinko ! ?"
741,hizbe,#1E90FF,"Laittakaa se tasapainoon"
743,wooziehh,,"Miksi Teses näyttää niin savolaiselta?"
744,j0ssu,#8A2BE2,"onko siellä sisällä jotain metallia"
744,riqumato,#FF0000,"Laakeri paskana"
744,isukkipelaa,#00FF7F,"Samppa menikö pasianssi ikinä läpi?"
745,eske54,#FF69B4,"laakeri rikki"
747,sami_zampp90,#FF69B4,"Avaimet taskussa"
747,jonttu2727,,"sun laakeris on paskana"
748,csjunnu,,"jalat epätasapainossa"
750,isosauno6,,"se ei oo vaa'assa"
755,riqumato,#FF0000,"Laakeri silti paskana"
755,captbablobronzebeard,#FF69B4,"taskussa kolikko"
764,tyaukkoo,#8A2BE2,"leso ois kuletus tuet paikallaa"
765,zzzjeeeee,#008000,"Ähtärin eläinpuisto hakeutuu konkurssiin"
766,moelli57,#E020FF,"se on rikki tai sit se ei oo vatupassilla laitettu vaan suoraa"
767,mackoin_,#0000FF,"kuljetustuet vielä kiinni, klassikko"
774,sonnipitkanen,,"xff"
778,ebinkoire,#DAA520,"Olvari oletko sä aamupostin jakaja?"
782,vi1q_thugger,#FF69B4,"kuuluuko ihan tung tung ääni vähän niiku tung tung sahur"
787,oonraimo,#00FF7F,"jos ois kuljetustuet vielä kii ni toi ois jo paskana"
787,skuttsi,,"se on VAG 1.8 TDI koneella"
791,kunnonsikanauta,#1E90FF,"onko pcomilla joku pesula sivubisnes vai miten siellä voi aina pyöriä pesukone taustalla"
792,smikke,#0000FF,""kai tuo on tasapainossa" ja samalla pesukone vetää jo jossain eteisessä"
795,koudero,,"Se on firman ainut rifle"
798,flybymoon,#FF0000,"Olvari unohtanu lompakon sinne niin painava esine kolisee vaikka kuinka paljon"
804,kepulipvp,#5F9EA0,"Unohtakaa Nobelin rauhanpalkinnot, ÄHTÄRIN ELÄINPUISTO HAKEUTUU KONKURSSIIN."
805,eske54,#FF69B4,"Sonnipuku pesussa"
805,jomenaa,#1E90FF,"?? xffong"
806,devicci,#00FF7F,"noni"
807,zzzjeeeee,#008000,"xff"
807,eske54,#FF69B4,"siks tärrää"
809,sami_zampp90,#FF69B4,"NotLikeThis"
809,hemis85,#FF69B4,"xff"
815,et_cs,#00FF7F,"piti olla nonchalant"
816,captbablobronzebeard,#FF69B4,"tonnin setelit kiiltää"
818,homosipuli,#0000FF,"@KepuliPvP No mitäs ihmettä"
821,jomenaa,#1E90FF,"KALMA"
827,eki0808,,"oli kyl natsaavat kebabit kebabhousessa taas pitkästä aikaa"
833,zzzjeeeee,#008000,"Olvari kicked from pelaajatcom check hltv"
839,moelli57,#E020FF,"@oonraimo juu. tajuaako täällä joku jostain oikeesti?"
842,smikke,#0000FF,"onko toussi siis oikeasti tämän koko rahanpesuoperaation takana"
859,eske54,#FF69B4,"Bat & ryyd on"
868,jesuuu00,,"@eske54 +1"
877,zedoa,#FF7F50,"@Draxteri ottaa"
881,morko_pubg,,"morko_pubg subscribed at Tier 1. "
887,sonnipitkanen,,"Pog"
890,oonraimo,#00FF7F,"hyvinhä tää meidänki eläintarha porskuttaa xD"
892,eetusqt,#AFFF25,"OOOO"
892,moelli57,#E020FF,"voiteko kokeilla olvari onks siinä pesukonees kaikki jalat maassa"
896,smikke,#0000FF,"olisivat tarvinneet muutaman pandan lisää että ois kannattanu xff"
898,henecchi,,"Ja vielä  jossain helvetin Ähtärissä"
902,vilhozi,#FF69B4,"SeemsGood SeemsGood"
911,moelli57,#E020FF,"ne oli venäläisiä"
919,tolebob,,"saavuin jyväskylän junaasemalle ja täällä on kylmä voisitteko hakea minut"
921,morko_pubg,,"pelArttu"
921,eske54,#FF69B4,"ja samalla viedään rahat vesalle"
925,nlfcs,#8A2BE2,"miks olvari teijä paskalähetys katkes"
930,penttisolav,#0000FF,"mitä vittua"
938,jomenaa,#1E90FF,"Nik OMEGALUL"
942,sylvesterfin,#FF0000,"Ja hinnat vaan nousee kaikkialla."
943,jesuuu00,,"Mekaaninen"
945,papanvarvas,,"keskiluokan eroosio johtaa näiden välimallin ratkaisujen kärsimiseen"
953,ani_,#FF7F50,"onneks on päässyt pois sieltä"
957,penttisolav,#0000FF,"hah"
959,kepulipvp,#5F9EA0,"@tolebob Jatka suoraan Tampereelle, tuolla ei oo mitään nähtävää."
963,jomenaa,#1E90FF,"xff"
966,papana_,#8A2BE2,"Lapissa on Ranuan eläinpuisto"
971,martinfall1n,,"Lapissa asuu joku 130k"
974,worisito,#0000FF,"Ähtäri on myös liian kaukana lapin turisteille"
978,hazeh__,,"nt"
980,zzzjeeeee,#008000,"HAH"
985,eipaljooaisaatana,,"!maps"
985,nightbot,#7C7CE1,"Inferno (3DMAX), Ancient (Falcons), Nuke (Decider)"
987,jesuuu00,,"First we give them siima"
987,k1rre1,,"Ostin ähtäristä sen jääkarhun josta aattelin tehdä lattiataljan takan eteen"
987,jerze8d,#FF0000,":DDD"
988,jsaddg,,"Jep, ei sekoteta Ähtäriä nyt Ranuaan :)"
992,karrypekka,#DAA520,"@martinfall1n nimenomaan"
995,anzzza,,"ulkomaalaset turistit käy lapinreissulla ihmettelemässä ranuan eläimiä"
1001,olvarinpikkuvarpaankarva,,"Ähtäri on aivan keskellä Suomea eli kaikkialta on sinne aivan saatanan pitkä matka"
1002,burecrs,#008000,"herne- vai pinaattikeitto?"
1004,smikke,#0000FF,"se panda sekoilu taisi tuon kaataa, jos nyt sitä ennenkään oli talous priimaa"
1005,captbablobronzebeard,#FF69B4,"just oli viimekuussa 17.9 saanut positiivisen saneerausilmoituksen"
1007,tomi,#D2691E,"Juontajalla varaa valittaa lentopäästöistä ku ajelee jollai sähköpurkilla. xffong"
1010,f0regod,,"lapissa on poroja nii ei tartte mennä eläintarhaan"
1011,martinfall1n,,"Lapin maakunnan väkiluku oli vuoden 2024 lopussa 176 134 henkeä"
1015,j0ssu,#8A2BE2,"xffong"
1017,1jupe1,,"politikoilla on hiilijalanjälki maksettu ku ne lentää"
1023,skuttsi,,"ei näkyny lumileopardia ku kävin ähtärissä ja vieläki paha mieli, joku paskalle haiseva jakki siellä mylvi"
1024,ani_,#FF7F50,"ähtäri on etelä-pohjanmaalla KKomrade"
1030,txmeosrs,,"Uskotteko johkin ilmastonmuutokseen XD hyvin iltapäivälehtien propakanda uponnu"
1033,blinddice,#0000FF,"Mitä se samppa selittää"
1043,chilifinn,#FF0000,"rahalla ja veroilla maailma pelastuu"
1045,jaqeee,#FF0000,"Kyllä huomaa, kun kyxsan keskittyy ampumiseen nii jää toi IGL homma vähä sivusuun"
1045,jsaddg,,"No eihä Raahesta oo ku karvanalle 300km Ähtäriin"
1046,jomenaa,#1E90FF,"???????"
1046,blinddice,#0000FF,"Lahdesta hkiin 100km"
1047,tomi,#D2691E,"????"
1050,wetsimo,#FFFFFF,"??"
1051,eske54,#FF69B4,"Olvarilla on oikeesti valkonen Transporter"
1051,moelli57,#E020FF,"ranualta on ähtärii 500km ja suoraa etelää"
1054,flybymoon,#FF0000,"Ähtäri on Etelä-Pohjanmaata"
1055,riqumato,#FF0000,"Lampaan syömiä oravia"
1056,wooziehh,,"agressiivinen kommentti"
1058,ggjali,#1E90FF,"Vessapaperi orava?"
1059,kaatuvv,#00FFBB,"oon aina nähny olvarin kauheena hökäleenä nuissa puheista sai sellasen kuvan et iha fiksu kaveri loppujenlopuks LUL"
1059,captbablobronzebeard,#FF69B4,"@JSAddg xffong"
1061,per2,#22AAC9,"Siis Raahe ja Ähtäri lähellä toisiaan vai? Mitä helvettiä nyt taas"
1061,burecrs,#008000,"D:"
1061,nugetittii,,"Millo se oli se Jimi vs bobi"
1062,potero9,,"290km"
1069,notorious_ode,#CD69FF,"suorana palautteena"
1070,nin_zu,#FF69B4,"DinoDance DinoDance DinoDance"
1071,riqumato,#FF0000,"@nugetittii 14,00"
1071,j0ssu,#8A2BE2,"xff"
1072,jamooh,#008000,"xff"
1074,sami_zampp90,#FF69B4,"pelSaha"
1079,wejkko,#0000FF,"xddd"
1080,frrrreezy,#8A2BE2,"xff  ͏"
1080,captbablobronzebeard,#FF69B4,"ähtäri on lähempänä pelcom studiota ku raahea"
1082,tolebob,,"ähtäri on jyväskylästä 100km"
1082,mixu77,#8A2BE2,"xffong ͏"
1083,taikausko,#1E90FF,"LUL"
1084,anzzza,,"LUL"
1102,veedubtw,#FF69B4,"JAMETIMEEE"
1103,zzzjeeeee,#008000,"xff"
1103,vilhozi,#FF69B4,"LUL"
1104,notorious_ode,#CD69FF,"4v4 säästö xff"
1110,benkuu_,#9ACD32,"buuuuuu"
1113,kahwille,,"kasissa...!"
1118,eske54,#FF69B4,"Olvari sanoo et sil on Bmw, mut oikeesti sil on valkonen Transporter ja karkkia hanskalokerossa"
1119,notorious_ode,#CD69FF,"perus inferno gameplay"
1121,wejkko,#0000FF,"olvari seuraaville majoreille valmentamaan navia"
1126,jaqeee,#FF0000,"HEI FALCONS HÄVII 3v5 nii miks ei yritä"
1132,ininiks,#5F9EA0,"normi inffi, vihu pääs jo saitille turha yrittää ees"
1132,tomi,#D2691E,"@eske54 oon ollu kyydis, oli hyviä namuja"
1135,toume,#DAA520,"Onko meillä säästö musaa"
1138,sahi0ja123456789,,"Olvari turpa kiinni ja mene toihin"
1141,tomskatv,#0000FF,"säästä simulator xffong"
